ensg,symbol,name
ENSG00000211644,IGLV1-51,immunoglobulin lambda variable 1-51
ENSG00000211645,IGLV1-50,immunoglobulin lambda variable 1-50 (non-functional)
ENSG00000211647,IGLV5-48,immunoglobulin lambda variable 5-48 (non-functional)
ENSG00000211648,IGLV1-47,immunoglobulin lambda variable 1-47
ENSG00000211649,IGLV7-46,immunoglobulin lambda variable 7-46
ENSG00000211650,IGLV5-45,immunoglobulin lambda variable 5-45
ENSG00000211651,IGLV1-44,immunoglobulin lambda variable 1-44
ENSG00000211652,IGLV7-43,immunoglobulin lambda variable 7-43
ENSG00000211653,IGLV1-40,immunoglobulin lambda variable 1-40
ENSG00000211654,IGLV5-37,immunoglobulin lambda variable 5-37
ENSG00000211655,IGLV1-36,immunoglobulin lambda variable 1-36
ENSG00000211656,IGLV2-33,immunoglobulin lambda variable 2-33 (non-functional)
ENSG00000211657,IGLV3-32,immunoglobulin lambda variable 3-32 (non-functional)
ENSG00000211658,IGLV3-27,immunoglobulin lambda variable 3-27
ENSG00000211659,IGLV3-25,immunoglobulin lambda variable 3-25
ENSG00000211660,IGLV2-23,immunoglobulin lambda variable 2-23
ENSG00000211661,IGLV3-22,immunoglobulin lambda variable 3-22
ENSG00000211662,IGLV3-21,immunoglobulin lambda variable 3-21
ENSG00000211663,IGLV3-19,immunoglobulin lambda variable 3-19
ENSG00000211664,IGLV2-18,immunoglobulin lambda variable 2-18
ENSG00000211665,IGLV3-16,immunoglobulin lambda variable 3-16
ENSG00000211666,IGLV2-14,immunoglobulin lambda variable 2-14
ENSG00000211667,IGLV3-12,immunoglobulin lambda variable 3-12
ENSG00000211668,IGLV2-11,immunoglobulin lambda variable 2-11
ENSG00000211669,IGLV3-10,immunoglobulin lambda variable 3-10
ENSG00000211670,IGLV3-9,immunoglobulin lambda variable 3-9
ENSG00000211672,IGLV4-3,immunoglobulin lambda variable 4-3
ENSG00000211673,IGLV3-1,immunoglobulin lambda variable 3-1
ENSG00000211674,IGLJ1,immunoglobulin lambda joining 1
ENSG00000211675,IGLC1,immunoglobulin lambda constant 1
ENSG00000211676,IGLJ2,immunoglobulin lambda joining 2
ENSG00000211677,IGLC2,immunoglobulin lambda constant 2
ENSG00000211678,IGLJ3,immunoglobulin lambda joining 3
ENSG00000211679,IGLC3,immunoglobulin lambda constant 3 (Kern-Oz+ marker)
ENSG00000211680,IGLJ4,immunoglobulin lambda joining 4 (non-functional)
ENSG00000211681,IGLJ5,immunoglobulin lambda joining 5 (non-functional)
ENSG00000211682,IGLJ6,immunoglobulin lambda joining 6
ENSG00000211684,IGLJ7,immunoglobulin lambda joining 7
ENSG00000211685,IGLC7,immunoglobulin lambda constant 7
ENSG00000211890,IGHA2,immunoglobulin heavy constant alpha 2 (A2m marker)
ENSG00000211891,IGHE,immunoglobulin heavy constant epsilon
ENSG00000211892,IGHG4,immunoglobulin heavy constant gamma 4 (G4m marker)
ENSG00000211893,IGHG2,immunoglobulin heavy constant gamma 2 (G2m marker)
ENSG00000211895,IGHA1,immunoglobulin heavy constant alpha 1
ENSG00000211896,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
ENSG00000211897,IGHG3,immunoglobulin heavy constant gamma 3 (G3m marker)
ENSG00000211898,IGHD,immunoglobulin heavy constant delta
ENSG00000211899,IGHM,immunoglobulin heavy constant mu
ENSG00000211900,IGHJ6,immunoglobulin heavy joining 6
ENSG00000211904,IGHJ2,immunoglobulin heavy joining 2
ENSG00000211905,IGHJ1,immunoglobulin heavy joining 1
ENSG00000211907,IGHD1-26,immunoglobulin heavy diversity 1-26
ENSG00000211909,IGHD5-24,immunoglobulin heavy diversity 5-24 (non-functional)
ENSG00000211911,IGHD3-22,immunoglobulin heavy diversity 3-22
ENSG00000211912,IGHD2-21,immunoglobulin heavy diversity 2-21
ENSG00000211914,IGHD6-19,immunoglobulin heavy diversity 6-19
ENSG00000211915,IGHD5-18,immunoglobulin heavy diversity 5-18
ENSG00000211917,IGHD3-16,immunoglobulin heavy diversity 3-16
ENSG00000211918,IGHD2-15,immunoglobulin heavy diversity 2-15
ENSG00000211920,IGHD6-13,immunoglobulin heavy diversity 6-13
ENSG00000211921,IGHD5-12,immunoglobulin heavy diversity 5-12
ENSG00000211923,IGHD3-10,immunoglobulin heavy diversity 3-10
ENSG00000211924,IGHD3-9,immunoglobulin heavy diversity 3-9
ENSG00000211925,IGHD2-8,immunoglobulin heavy diversity 2-8
ENSG00000211928,IGHD5-5,immunoglobulin heavy diversity 5-5
ENSG00000211930,IGHD3-3,immunoglobulin heavy diversity 3-3
ENSG00000211931,IGHD2-2,immunoglobulin heavy diversity 2-2
ENSG00000211933,IGHV6-1,immunoglobulin heavy variable 6-1
ENSG00000211934,IGHV1-2,immunoglobulin heavy variable 1-2
ENSG00000211935,IGHV1-3,immunoglobulin heavy variable 1-3
ENSG00000211937,IGHV2-5,immunoglobulin heavy variable 2-5
ENSG00000211938,IGHV3-7,immunoglobulin heavy variable 3-7
ENSG00000211941,IGHV3-11,immunoglobulin heavy variable 3-11
ENSG00000211942,IGHV3-13,immunoglobulin heavy variable 3-13
ENSG00000211943,IGHV3-15,immunoglobulin heavy variable 3-15
ENSG00000211944,IGHV3-16,immunoglobulin heavy variable 3-16 (non-functional)
ENSG00000211945,IGHV1-18,immunoglobulin heavy variable 1-18
ENSG00000211946,IGHV3-20,immunoglobulin heavy variable 3-20
ENSG00000211947,IGHV3-21,immunoglobulin heavy variable 3-21
ENSG00000211949,IGHV3-23,immunoglobulin heavy variable 3-23
ENSG00000211950,IGHV1-24,immunoglobulin heavy variable 1-24
ENSG00000211951,IGHV2-26,immunoglobulin heavy variable 2-26
ENSG00000211952,IGHV4-28,immunoglobulin heavy variable 4-28
ENSG00000211955,IGHV3-33,immunoglobulin heavy variable 3-33
ENSG00000211956,IGHV4-34,immunoglobulin heavy variable 4-34
ENSG00000211957,IGHV3-35,immunoglobulin heavy variable 3-35 (non-functional)
ENSG00000211958,IGHV3-38,immunoglobulin heavy variable 3-38 (non-functional)
ENSG00000211959,IGHV4-39,immunoglobulin heavy variable 4-39
ENSG00000211961,IGHV1-45,immunoglobulin heavy variable 1-45
ENSG00000211962,IGHV1-46,immunoglobulin heavy variable 1-46
ENSG00000211964,IGHV3-48,immunoglobulin heavy variable 3-48
ENSG00000211965,IGHV3-49,immunoglobulin heavy variable 3-49
ENSG00000211966,IGHV5-51,immunoglobulin heavy variable 5-51
